"","GEOID","STATE","NO2_LEVELS","TOTAL_ADULTS","WHITE_ALONE","BLACK_ALONE","AIAN_ALONE","ASIAN_ALONE","NHPI_ALONE","OTHER_ALONE","TWO_MORE","HisLat_TOTAL","NotHisLat_TOTAL","INCOME_GROUP","UrbanRural"
"236",6075010201,"California",NA,2277,1789,23,1,254,2,36,172,164,2113,"$85,000 to <$141,000",NA
"237",6075010300,"California",NA,3744,2386,42,2,971,3,79,261,220,3524,"$85,000 to <$141,000","Urban"
"238",6075010600,"California",NA,3439,1404,71,10,1580,11,146,217,309,3130,"$52,000 to <$85,000","Urban"
"239",6075010701,"California",NA,3311,252,79,5,2857,4,34,80,102,3209,"<$27,000",NA
"240",6075010702,"California",NA,1477,634,16,4,682,1,44,96,125,1352,"$52,000 to <$85,000",NA
"241",6075010901,"California",NA,2136,1537,16,3,376,0,45,159,151,1985,">=$141,000",NA
"242",6075010902,"California",NA,2214,1342,37,5,601,5,49,175,183,2031,">=$141,000",NA
"243",6075011001,"California",NA,2877,1450,53,7,1093,5,69,200,223,2654,"$85,000 to <$141,000",NA
"244",6075011101,"California",NA,2975,1532,64,11,1023,3,106,236,273,2702,"$85,000 to <$141,000",NA
"245",6075011102,"California",NA,2392,1096,110,22,849,6,115,194,227,2165,"$85,000 to <$141,000",NA
"246",6075011200,"California",NA,3243,1922,54,8,979,4,81,195,216,3027,">=$141,000","Urban"
"247",6075011300,"California",NA,2767,521,33,5,2061,2,40,105,107,2660,"$27,000 to <$52,000","Urban"
"248",6075011800,"California",NA,1423,153,6,4,1189,0,33,38,52,1371,"$27,000 to <$52,000","Urban"
"249",6075011901,"California",NA,2182,1191,76,16,646,13,85,155,203,1979,"$85,000 to <$141,000","Urban"
"250",6075011902,"California",NA,2624,1388,73,26,722,1,150,264,335,2289,"$52,000 to <$85,000","Urban"
"251",6075012001,"California",NA,1899,879,86,11,542,0,161,220,327,1572,"$52,000 to <$85,000",NA
